Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
6029;Square du Couchant;Parc;Impasse des Vendanges;44300;Nantes;47.269068627000024, -1.5142241770000169;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
1524;Square Etienne Destranges;Parc;Place Edouard Normand;44000;Nantes;47.21919126, -1.5637600559999782;https://nature.metropole.nantes.fr;Jean Jaurès Ligne 3;;NON;;;;;;;NON;NON;
1523;Square Jean-Baptiste Barre;Parc;Rue Jean Baptiste Barré;44000;Nantes;47.22274689699998, -1.527543879999996;https://nature.metropole.nantes.fr;Ligne 1 Hopital Bellier;;NON;;;;;;;NON;NON;
3208;Square Charles Housset;Parc;Rue Charles Housset;44100;Nantes;47.202643937999994, -1.6083776240000134;https://nature.metropole.nantes.fr;Ligne 1 Lauriers;;NON;;;;;;;NON;NON;
3220;Parc de Broussais;Parc;Boulevard Louis Millet;44300;Nantes;47.22660635, -1.5218530469999791;https://nature.metropole.nantes.fr;"Toutes Aides Lignes 12 70 ; Mairie de Doulon Ligne 1";;NON;;;;;;;NON;NON;
3205;Square du Prinquiau;Parc;Rue du Prinquiau;44100;Nantes;47.212158423999995, -1.5870944540000096;https://nature.metropole.nantes.fr;Conventions Lignes 11 70;;NON;;;;;;;NON;NON;
6016;Parc du Bout des Pavés;Parc;Avenue du Bout des Landes;44300;Nantes;47.26092645199998, -1.5782455519999985;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
1022;Parc de la Noé Mitrie;Parc;Boulevard de Doulon;44000;Nantes;47.227481012, -1.5265750919999732;https://nature.metropole.nantes.fr;Mitrie Ligne 11;;NON;;;;;;;NON;OUI;
3210;Square de la Halvêque;Parc;Rue Léon Serpollet;44300;Nantes;47.25447677400001, -1.5208124729999781;https://nature.metropole.nantes.fr;Ligne 1 Halvêque;;NON;;;;;;;NON;NON;
6026;Square des Grands Pâtis;Parc;Rue des Grands Pâtis;44300;Nantes;47.270021816999986, -1.5200315999999816;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
6033;Square René-Guy Cadou;Parc;Rue René-Guy Cadou;44300;Nantes;47.25630531600001, -1.5688681039999892;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;OUI;
3224;Square du Vieux Parc de Sèvres;Parc;Bas Chemin de Vertou;44200;Nantes;47.18297594400002, -1.5199822629999744;https://nature.metropole.nantes.fr;Ligne 1 Duchenne Anne-Chateau / Ligne 4 Bourdonnière;;NON;;;;;;;NON;NON;
6012;Jardin du Réservoir;Parc;Ruelle Aino Aalto;44300;Nantes;47.241518093000025, -1.5096427999999946;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
4592;Square de la Pilotière;Parc;Boulevard de la Pilotière;44300;Nantes;47.24499151200001, -1.5247319029999744;https://nature.metropole.nantes.fr;Ligne 11 Dunant;;NON;;;;;;;NON;OUI;
3222;Square Jules Bréchoir;Parc;Rue Jules Bréchoir;44000;Nantes;47.22524657299999, -1.522567572000014;https://nature.metropole.nantes.fr;Toutes Aides 58 A 75 82 92 - Bd de Doulon Ligne 1;;NON;;;;;;;NON;NON;
6023;Square de la Pergola;Parc;67 Rue de la Bottière;44300;Nantes;47.240567295000005, -1.5192760379999868;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
4589;Square de Hongrie;Parc;Rue de Hongrie;44000;Nantes;47.21622735300002, -1.5239710299999842;https://nature.metropole.nantes.fr;Ligne C3 Hongrie;;NON;;;;;;;NON;NON;
1506;Parc des Capucins;Parc;Rue Noire;44000;Nantes;47.22529364100001, -1.5629966810000155;https://nature.metropole.nantes.fr;Poitou Ligne 3 ou Ligne C2 Brunneau;;NON;;;;;;;NON;OUI;
4787;Jardin des cinq sens;Parc;Rue Gaëtan Rondeau;44200;Nantes;47.20716353400002, -1.533640326000011;https://nature.metropole.nantes.fr;Ligne 1 Duchesse anne château / Ligne 4 Ile de Nantes;;NON;;;;;;;NON;OUI;
1016;Jardin des Plantes;Parc;Rue Stanislas Baudry;44000;Nantes;47.21967020599999, -1.5430812590000187;https://nature.metropole.nantes.fr;Gare SNCF Lignes 1;<p>Camelia, Epiphytes, Cactées</p>;OUI;;;;;;;OUI;OUI;
6015;Square de la Petite Sensive;Parc;Rue du Honduras;44300;Nantes;47.260247943000024, -1.5632198850000236;;;;;;;;;;;;;
6128;Square Germaine Tillion;Parc;Rue René Rivet;44300;Nantes;47.267508220000025, -1.510601434000023;;;;;;;;;;;;;
6021;Square de l'Embellie;Parc;Rue Julien Lanoë;44300;Nantes;47.26684549599997, -1.5161469299999908;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
4506;Square Louis Feuillade;Parc;Rue Jacques Feyder;44100;Nantes;47.23043376700002, -1.5854869849999886;https://nature.metropole.nantes.fr;Ligne 54 Petit Carcouet;;NON;;;;;;;NON;NON;
4586;Square Saint Pasquier;Parc;Place Emile Fritsch;44000;Nantes;47.228755748000026, -1.566077292999978;https://nature.metropole.nantes.fr;Ligne C2 Le Goffic;;NON;;;;;;;NON;NON;
4417;Square Général de la Bollardière;Parc;Rue du Général de Bollardière;44200;Nantes;47.20930418400002, -1.5294719629999918;;;;;;;;;;;;;
6027;Square des Ingénieurs;Parc;Route de la Jonelière;44300;Nantes;47.252111316000025, -1.5450075829999719;https://nature.metropole.nantes.fr/;;;NON;;;;;;;OUI;NON;
4576;Jardin des douves du Château;Parc;Rue des Etats;44000;Nantes;47.215616856, -1.550132734999977;https://nature.metropole.nantes.fr;Tramway ligne 1 - arrêt Duchesse AnneBusway ligne 4 - arrêt Duchesse AnneBicloo - station 50 Château;;NON;;;;;;;NON;NON;
6224;Square Félix Faure;Parc;77 Rue Félix Faure;44000;Nantes;47.230848095, -1.5686171969999805;;;;;;;;;;;;;
4583;Square Marcel Moisan;Parc;56 Rue de l'Hermitage;44100;Nantes;47.20208672000001, -1.5773175229999765;https://nature.metropole.nantes.fr;Lechat Ligne 21 H;;NON;;;;;;;NON;NON;
4577;Square Gabriel Chéreau;Parc;Rue d'Ancin;44000;Nantes;47.21110856199999, -1.5627866660000223;https://nature.metropole.nantes.fr;Ligne 1 Médiathèque;;NON;;;;;;;NON;OUI;
5806;Parc Bottière-Chenaie;Parc;Mail Haroun Tazieff;44300;Nantes;47.24154071700002, -1.5134921389999931;;;;NON;;;;;;;NON;OUI;
1021;Parc de la Gaudinière;Parc;227 Boulevard Robert Schuman;44300;Nantes;47.24433031500001, -1.5786627819999808;https://nature.metropole.nantes.fr;Ligne C2 Berlioz;<p>112 espèces de Rhododendrons et 47 de Camellias</p>;OUI;;;;;;;NON;OUI;
1344;Parc de la Boucardière;Parc;54 Rue de l'Abbaye;44100;Nantes;47.20115274800003, -1.5976591560000202;https://nature.metropole.nantes.fr;Ligne 81 arrêt Bois Hardy  C20 arrêt Bois Hardy;;NON;;;;;;;NON;OUI;
1527;Square Jean-Baptiste Daviais;Parc;Place de la Petite Hollande;44000;Nantes;47.211902416999976, -1.5579172569999855;https://nature.metropole.nantes.fr;Commerce Lignes 11 32 51 52 54 CDB;;NON;;;;;;;NON;OUI;
